Id,Label,author_id,home_page,publications,interests,Faculty,Department ,citedby
66,Paul Stolee,pv5Xge8AAAAJ,https://uwaterloo.ca/ghs/,286,"geriatric health systems, health outcome measurement, health care transitions",Health,Public Health Sciences,9391
67,John Hirdes,71R-3OIAAAAJ,,459,"health care, aging, mental health, home care, nursing homes",Health,Public Health Sciences,14474
68,Yuning Li,EgtMUXQAAAAJ,https://uwaterloo.ca/chemical-engineering/people-profiles/yuning-li,309,"Organic electronics, polymers, nanomaterials, transistors, solar cells",Engineering,Chemical Engineering,15205
69,Yuri Boykov,h6_PdYsAAAAJ,https://cs.uwaterloo.ca/~yboykov/,144,"computer vision, biomedical image analysis",Mathematics,Computer Science,33949
70,Shoja'eddin Chenouri,aSBmn9IAAAAJ,,50,"Robust Statistics, Nonparametric methods, Functional data analysis, Change point analysis, High-dimentional data",Mathematics,Statistics and Actuarial Science,532
71,Ricardo Fukasawa,Z0NqKVYAAAAJ,http://www.math.uwaterloo.ca/~rfukasaw,47,Optimization,Mathematics,Combinatorics and Optimization,1435
72,Peter Forsyth,OQK4DDYAAAAJ,https://cs.uwaterloo.ca/~paforsyt/,264,"Scientific Computing, Computational Finance, Numerical solution of PDEs",Mathematics,Computer Science,10053
73,Paulo Alencar,0xzfYjwAAAAJ,,276,"software engineering, formal methods, web engineering, mobile applications, context-aware computing",Mathematics,Computer Science,2497
74,Olga Vechtomova,Ln1-_JIAAAAJ,http://ov-research.uwaterloo.ca/,85,"Natural Language Processing, Information Retrieval",Mathematics,Management Sciences,2684
75,Kaan Inal,fD70lxoAAAAJ,http://www.cmrg.uwaterloo.ca/,139,"Crystal Plasticity, Formability, Localized Deformation",Engineering,Mechanical and Mechatronics Engineering,2643
76,Hyock Ju Kwon,VDoXjlEAAAAJ,,54,"AI, Robotics, Biomedical, Mechanical",Engineering,Mechanical and Mechatronics Engineering,648
77,George Labahn,Y91lPPwAAAAJ,http://www.cs.uwaterloo.ca/~glabahn,189,"Computer Algebra, Computational Finance, Scientific Computing, Approximation Theory",Mathematics,Statistics and Actuarial Science,4844
78,Eihab Abdel-Rahman,IyO3eJcAAAAJ,https://uwaterloo.ca/systems-design-engineering/people-profiles/eihab-abdel-rahman,258,"Nonlinear Dynamics, MEMS, Vibrations, Control, Sensors",Engineering,Systems Design Engineering,6614
79,Don Cowan,thICt6UAAAAJ,,67,,Mathematics,Computer Science,763
80,Vijay Ganesh,YP23eR0AAAAJ,https://ece.uwaterloo.ca/~vganesh,165,"SAT/SMT solvers, formal methods/software engineering/security, AI, mathematics, physics",Mathematics,Electrical and Computer Engineering,6305
81,Charles Clarke,TkVleDIAAAAJ,http://plg.uwaterloo.ca/~claclark,276,"Information Retrieval, Web Search, Text Mining",Mathematics,Computer Science,10654
82,Jimmy Lin,0EWw1z8AAAAJ,https://cs.uwaterloo.ca/~jimmylin/,579,"information retrieval, natural language processing, data management, big data",Mathematics,Computer Science,22575
83,Safieddin Safavi-Naeini,vcsNbsgAAAAJ,https://uwaterloo.ca/centre-for-intelligent-antenna-and-radio-systems/,691,"Electromagnetic fields and waves, Intelligent Antenna and Radio Systems, Microwaves/Millimeter-waves technology, Terahertz Technologies, Bio-medical sensors",Engineering,Electrical and Computer Engineering,6113
84,Plinio Morita,pMiZZU4AAAAJ,https://uwaterloo.ca/public-health-and-health-systems/people-profiles/plinio-morita,101,"mHealth and wearable technology design, ubiquitous sensors for smart homes, usage data and health data analytics, and technology",Engineering,Public Health Sciences,980
85,Sharon Kirkpatrick,v5aZktUAAAAJ,https://uwaterloo.ca/public-health-and-health-systems/people-profiles/sharon-kirkpatrick,179,"nutrition, dietary assessment, food policy",Health,Public Health Sciences,11565
86,Jun Liu,Ytr7YQ0AAAAJ,,102,"systems and control theory, formal methods, optimization and learning",Mathematics,Applied Mathematics,1841
87,Scott Hopkins,cP6A2C0AAAAJ,https://uwaterloo.ca/chemistry/people-profiles/scott-hopkins,99,"Chemistry, Physics",Science,Chemistry,1454
88,George Shaker,BuqNOOwAAAAJ,http://www.linkedin.com/in/georgeshaker,163,"Electromagnetics, Antennas, RF, Microwave, Sensors and Printed Electronics",Engineering,Mechanical and Mechatronics Engineering,1694
89,Apurva Narayan,e5OCZ1cAAAAJ,http://www.anarayan.com/,46,"Cyber Physical Systems, Data Analytics, Machine Learning, Software Engineering, Safety and Security in CPS",Engineering,Systems Design Engineering,338
90,Henry Wolkowicz,WmTBubUAAAAJ,http://www.math.uwaterloo.ca/~hwolkowi/,334,"Optimization, Mathematical Programming, Numerical Linear Algebra, Cone Optimization, Matrix Completions",Mathematics,Combinatorics and Optimization,11724
91,Lila Kari,B4myWaQAAAAJ,https://cs.uwaterloo.ca/about/people/lila,273,"Theoretical computer science, DNA computing, Formal languages & Automata, Biodiversity informatics",Mathematics,Computer Science,5692
92,Trevor Charles,gTkdyfsAAAAJ,,146,"microbiology, bacterial genetics, metagenomics, plant-microbe interactions, bioplastics",Science,Biology,7816
93,Ashley Rose Mehlenbacher,32EmfuEAAAAJ,https://uwaterloo.ca/scholar/arkelly/,42,"rhetorical theory, rhetorics of science and technology and medicine, science communication, genre theory, science studies",Arts,English Language and Literature,402
94,Vasudevan Lakshminarayanan,ipkmLWUAAAAJ,,506,,Engineering,Physics and Astronomy,7519
95,Olaf Weber,tGFedLkAAAAJ,,170,"Sustainable finance, impact investing, social finance, corporate social responsibility",Engineering,"Environment, Enterprise and Development",4470
96,Colin Ellard,jOejML4AAAAJ,http://colinellard.com/,89,"environmental psychology, virtual reality, urban psychology",Arts,Psychology,1935
97,Ian Milligan,ZDmByc4AAAAJ,http://ianmilligan.ca/,104,,Arts,History,1132
98,Martin Ross,d1w1jiUAAAAJ,https://uwaterloo.ca/earth-environmental-sciences/people-profiles/martin-ross,90,"Quaternary science, glacial geology, geomorphology",Science,Earth and Environmental Sciences,843
99,Chris Eliasmith,KOBO-6QAAAAJ,http://compneuro.uwaterloo.ca/,274,"theoretical neuroscience, brain modelling, machine learning, artificial intelligence, philosophy of mind",Mathematics,Systems Design Engineering,9449
100,Raouf Boutaba,L1RHDCcAAAAJ,http://rboutaba.cs.uwaterloo.ca/,785,"Network Management, Network Virtualization, Cloud Resource Management",Mathematics,Computer Science,31293
101,Seyed Majid Zahedi,HlL8Gi4AAAAJ,https://ece.uwaterloo.ca/~smzahedi/,14,"Computer Systems, Computer Architecture, Theoretical Computer Science",Engineering,Electrical and Computer Engineering,312
102,Joel Dubin,g9zPsf4AAAAJ,https://uwaterloo.ca/statistics-and-actuarial-science/people-profiles/joel-dubin,113,"Statistics, biostatistics, data science",Mathematics,Statistics and Actuarial Science,4990
103,Phil Curry,07j673gAAAAJ,http://www.arts.uwaterloo.ca/~pacurry/,32,"law and economics, applied microeconomic theory",Arts,Economics,220
104,Achim Kempf,vfYk_ygAAAAJ,http://uwaterloo.ca/poi,164,"Physics of Information, Quantum Gravity and Cosmology, Information in Biology and Engineering",Mathematics,Applied Mathematics,7362
105,Yaoliang Yu,zbXIQMsAAAAJ,https://cs.uwaterloo.ca/~y328yu/,99,"Machine learning, Optimization",Mathematics,Computer Science,2657
106,Chul Min Yeum,6PiF3MkAAAAJ,https://cviss.net/,48,"Structural Health Monitoring, Computer Vision, Machine Learning",Engineering,Civil and Environmental Engineering,950
107,John McLevey,zkQN59MAAAAJ,http://www.johnmclevey.com/,31,"computational social science, social networks, natural language processing, politics of information",Arts,Knowledge Integration,266
108,Tao Chen,hIYp2jIAAAAJ,,5,"Membrane, Modeling",Arts,Economics,101
109,Subha Kalyaanamoorthy,ZiJxchkAAAAJ,,32,"Computational biology, Molecular modelling, Structure-based drug design, Molecular evolution, Molecular dynamics",Engineering,Chemistry,5381
110,Ruodu Wang,YT9wiu8AAAAJ,http://sas.uwaterloo.ca/~wang,107,"Statistics, Actuarial Science, Quantitative Risk Management, Financial Engineering, Risk Measures",Mathematics,Statistics and Actuarial Science,2246
111,Mark Crowley,eL_y80EAAAAJ,https://uwaterloo.ca/scholar/mcrowley,114,"Machine Learning, Artificial Intelligence, Computational Sustainability, Reinforcement Learning, Anomaly Detection",Engineering,Electrical and Computer Engineering,894
112,Stephen M. Watt,O4bB0QkAAAAJ,http://cs.uwaterloo.ca/~smwatt/,299,"computer algebra, compilers, handwriting recognition",Mathematics,Computer Science,6076
113,Josh D. Neufeld,hzeNTPAAAAAJ,http://biology.uwaterloo.ca/people/josh-neufeld,156,"Microbiology, microbial ecology, human microbiome",Science,Biology,12896
114,Jennifer Whitson,QiYJp90AAAAJ,http://www.jenniferwhitson.com/,34,"Surveillance, Game Studies, Labour",,Sociology and Legal Studies,1181
115,Ming Li,oGgPXFEAAAAJ,http://cs.uwaterloo.ca/~mli,394,"Bioinformatics, natural language processing, algorithms and complexity, Kolmogorov complexity, learning theory",Mathematics,Computer Science,35093
116,Mathieu Doucet,gC94TBgAAAAJ,,14,"Philosophy, ethics, moral psychology",Arts,Philosophy,203
117,Alfred Yu,LRUenAcAAAAJ,https://lit-mus.org/,141,Ultrasound Imaging & Therapeutics,Mathematics,Electrical and Computer Engineering,3208
118,Weihua Zhuang,Py1onlEAAAAJ,http://bbcr.uwaterloo.ca/~wzhuang,415,"Wireless networking, MAC, VANETs, QoS, Positioning",Engineering,Electrical and Computer Engineering,19748
119,Pascal Poupart,KhAJWroAAAAJ,http://cs.uwaterloo.ca/~ppoupart,215,"Artificial Intelligence, Machine Learning, Reinforcement Learning, Markov Decision Processes, Sum-Product Networks",Mathematics,Computer Science,7193
120,Mikko Packalen,kJ-X1MEAAAAJ,https://sites.google.com/site/mikkopackalen/,26,"ideas, growth, health, text analysis",Arts,Economics,342
121,Marius Hofert,FU8uWWUAAAAJ,http://www.math.uwaterloo.ca/~mhofert/,125,"Copula Modeling, Computational Statistics and Data Science, Quantitative Risk Management",Mathematics,Statistics and Actuarial Science,2657
122,Juliane Mai,0cgCUuAAAAAJ,http://www.civil.uwaterloo.ca/jmai/,134,"Sensitivity Analysis, Uncertainty Analysis, Model Calibration, Large-Scale Hydrologic Modelling, HPC & Big Data",Engineering,Civil and Environmental Engineering,1214
123,Baris Fidan,kQBCvYEAAAAJ,http://www.me.uwaterloo.ca/~fidan,240,"Controls, Robotics, Mechatronics, Sensor Networks, Signal Processing",Engineering,Mechanical and Mechatronics Engineering,10677
124,Jeff Z.Y. Chen,_zhMaH8AAAAJ,http://www.science.uwaterloo.ca/~jeffchen,158,Soft Matter Theory,Science,Physics and Astronomy,4313
125,Derek Rayside,hG-Un48AAAAJ,https://ece.uwaterloo.ca/~drayside/,79,"software engineering, formal methods, program analysis, synthesis",Mathematics,Electrical and Computer Engineering,1523
126,Efrim Boritz,wlKr--QAAAAJ,https://uwaterloo.ca/school-of-accounting-and-finance/people-profiles/efrim-boritz,139,"Audit, Assurance, Accounting Information Systems",Mathematics,Accounting and Finance,2796
127,Maura Grossman,Mtt1ewoAAAAJ,http://grossman.uwaterloo.ca/,64,High-Stakes Information Retrieval,Mathematics,Computer Science,1350
128,Tony Wirjanto,Rt3jpBUAAAAJ,https://uwaterloo.ca/statistics-and-actuarial-science/people-profiles/tony-wirjanto,196,"Financial Econometrics/Time Series, Financial Mathematics, Computational Finance",Mathematics,Statistics and Actuarial Science,2495
129,Shai Ben-David,kezPqwoAAAAJ,,227,"Theoretical computer science, Machine Learning, Clustering, Mathematical logic",Mathematics,Computer Science,16739
130,Marcel O' Gorman,04wS9GMAAAAJ,http://marcelogorman.net/,54,"Media Theory, Posthumanism, Digital Art, Digital Humanities",Arts,English Language and Literature,287
131,Anna Esselment,3dHQfmoAAAAJ,https://uwaterloo.ca/political-science/people-profiles/anna-esselment,31,"Canadian politics, campaigns and elections, political marketing",Arts,Political Science,247
132,Jonathan Li,7hyYxRkAAAAJ,https://uwaterloo.ca/geospatial-sensing/,534,"Geomatics, Mapping, Earth Observation, LiDAR, Photogrammetry",Environment,Geography and Environmental Management,11529
133,Alan Huang,buaNnDMAAAAJ,,38,Empirical Asset Pricing,Mathematics,Accounting and Finance,781
134,Bryan Tolson,E0ugA2sAAAAJ,http://www.civil.uwaterloo.ca/btolson/,158,"hydrologic modelling, water distribution system modelling, optimization, automatic calibration, water resources systems analysis",Engineering,Civil and Environmental Engineering,4190
135,Catherine Burns,ONcan_4AAAAJ,https://www.researchgate.net/profile/Catherine_Burns3%22%3ECatherine%20Marie%20Burns%20on%20ResearchGate,246,"human factors, cognitive work, patient safety, interaction with AI, interaction with automation",Engineering,Systems Design Engineering,4892
136,Olga Veksler,r5QkMysAAAAJ,https://cs.uwaterloo.ca/~oveksler/,82,Computer Vision,Mathematics,Computer Science,17451
137,Marcel Nooijen,yFqaGSsAAAAJ,,162,electronic structure theory,Science,Chemistry,8673
138,Peter Johnson,14Ov5mYAAAAJ,https://uwaterloo.ca/geography-environmental-management/people-profiles/peter-johnson,64,"Civic Technology, GIScience, Public Participation, Open Data",Arts,Geography and Environmental Management,2225
139,Laura Middleton,HGEQv7cAAAAJ,https://uwaterloo.ca/kinesiology/people-profiles/laura-middleton,115,"Physical activity, sedentary behaviour, exercise interventions, aging, cognitive impairment",Health,Kinesiology and Health Sciences,3666
140,Kerstin Dautenhahn,0b9_3VUAAAAJ,,612,"Social Robotics, Human-Robot Interaction, Artificial Intelligence, Assistive Technology",Engineering,Electrical and Computer Engineering,29839
141,Katja Mombaur,HuN7dvgAAAAJ,http://www.orb.uni-hd.de/,211,"Humanoid robots, Wearable robots and assistive devices, Human movement, Optimal control, Modeling",Mathematics,Systems Design Engineering,3389
142,Jesse Hoey,YcBGOtQAAAAJ,http://www.cs.uwaterloo.ca/~jhoey,244,"Artificial Intelligence, Affective Computing, Computational Social Science, Markov Decision Processes",Mathematics,Computer Science,8062
143,Horatiu Rus,QDdxpj0AAAAJ,http://www.arts.uwaterloo.ca/~hrus,28,"Natural Resource and Environmental Economics, International Trade, Political Economy",Arts,Economics,156
144,Lennart Nacke,i-y5S2AAAAAJ,http://www.hcigames.com/,270,"Human-Computer Interaction, User Experience, Player Experience, Games User Research, Gamification",Mathematics,Communication Arts,23691
145,Edith Law,OOssnq8AAAAJ,http://edithlaw.ca/,100,"Human Computer Interaction, Machine Learning, Human Computation and Crowddsourcing, Citizen Science",Mathematics,Computer Science,2578
146,Ashok Chaurasia,VFdBknwAAAAJ,https://uwaterloo.ca/public-health-and-health-systems/people-profiles/ashok-chaurasia,48,"model selection, longitudinal data, incomplete/missing data, sequential analysis",Health,Public Health Sciences,545
147,Fatma Gzara,BYLEbicAAAAJ,,35,"Large scale optimization, Data analytics, Logistics and supply chain analytics",Engineering,Management Sciences,903
148,Fakhri Karray,9_Hpd5kAAAAJ,https://uwaterloo.ca/scholar/karray,663,"multi-sensor data fusion, emotion recognition, intelligent systems, computational intelligence, machine learning",Engineering,Electrical and Computer Engineering,15656
149,Bissan Ghaddar,ERQSOF8AAAAJ,,53,,Engineering,Management Sciences,1086
150,Zhongwei Chen,xqRH0KMAAAAJ,http://chemeng.uwaterloo.ca/zchen,951,"Nanomaterials, fuel cells, batteries, electrolysis, artificial intelligence",Engineering,Chemical Engineering,42508
151,Craig Fortier ,MNAM1MgAAAAJ,,12,,Arts,Social Development Studies,181
152,Gordon Cormack,wFuZKaUAAAAJ,,213,,Mathematics,Computer Science,10202
153,Joe Naoum Sawaya,qusC_nYAAAAJ,http://www.eng.uwaterloo.ca/~jnaoumsa/,57,,Engineering,Management Sciences,1218
154,Moojan Ghafurian,m8uJMssAAAAJ,http://moojan.com/,31,"Human-Computer Interaction, Human-Robot Interaction, Affective Computing, Social Robotics, Assistive Technology",Engineering,Electrical and Computer Engineering,147
155,Otman Basir,r1Rx1RsAAAAJ,https://ece.uwaterloo.ca/People/faculty/basir.html,408,"Human Safety and Prosperity, Book Reading, Soccer, History, Politics",Engineering,Electrical and Computer Engineering,10130
156,Paul Figueth,TObmBfYAAAAJ,http://vip.uwaterloo.ca/people/paul-fieguth,364,"Image Processing, Random Fields, Computer Vision",Engineering,Systems Design Engineering,9407
157,Alexander Wong,i7h8-dYAAAAJ,,823,"Artificial Intelligence, Machine Learning, Image Processing, Computer Vision, Medical Imaging",Engineering,Systems Design Engineering,17582
